,QT_SALAS_EXISTENTES,QT_FUNCIONARIOS,IN_FUND_AF,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PARDA,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND,QT_DOC_FUND_AI,QT_DOC_FUND_AF,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_ESP,QT_TUR_ESP_CC,QT_MAT_FUND
QT_SALAS_EXISTENTES,1.0,0.8621410527344243,0.41728619029595654,0.6919725012303404,0.5720825782958356,0.5058424104235725,0.6830999238097457,0.6960857559546947,0.5620238504772822,0.5293844567405311,0.5521279959959238,0.5752385729884623,0.5695426167810199,0.5379598018158126,0.5959735535324657,0.41697077637194363,0.6796047944865962,0.6640652167133323,0.5606928278916194,0.49931180805362196,0.49613536814130804,0.4952416879368572,0.6914892069992468,0.6905477495193638,0.5635662013903702,0.49348021371390716,0.4433614203091971,0.4422521926157368,0.6808846119518919
QT_FUNCIONARIOS,0.8621410527344243,1.0,0.4996828441035804,0.7755782956313739,0.5726463783644534,0.6056616837854426,0.7687611816566431,0.7771961539141937,0.6163195518083172,0.6011453570756636,0.6301533122471349,0.5817964601440995,0.6574782474744505,0.6397592734498562,0.6406413358262106,0.5316689451470821,0.7701471642931352,0.73924470817605,0.5555519312213371,0.6017686675260305,0.554712852456801,0.5538692777023613,0.7591856423232335,0.7449142416880539,0.549028905624124,0.5914104011229491,0.459835869618878,0.45898577559618975,0.7549292136902268
IN_FUND_AF,0.41728619029595654,0.4996828441035804,1.0,0.6266354200244463,0.2521064397922121,0.7009699322894046,0.6166579443008099,0.6322190367260591,0.46258521794311963,0.48330679100539925,0.5416205748644196,0.26763784364898313,0.7130204995469137,0.6491466424825694,0.5926946695563738,0.4454888881618382,0.6696758619920071,0.724515392471351,0.26993765237980416,0.7821386905482266,0.6089080965292416,0.6082041054719757,0.6049723951665309,0.6497886407004007,0.2512508934075162,0.7442195182551646,0.4333498480296808,0.432605780923067,0.6532179365819437
QT_MAT_BAS,0.6919725012303404,0.7755782956313739,0.6266354200244463,1.0,0.6783710258051087,0.805482924418003,0.9966220404691268,0.9969080209306539,0.7431025047551714,0.7635756668301393,0.861074983094974,0.7011268237568344,0.8762923696296078,0.8214400026491521,0.8842140603017468,0.7456396515888208,0.957236246412375,0.9302046756427083,0.6562491494213079,0.785759859096843,0.7828754118266958,0.7820971140489408,0.9612122936416332,0.934781100483431,0.6495362561599594,0.7816982187733804,0.6939507663854078,0.6932748917091612,0.9593189467585725
QT_MAT_FUND_AI,0.5720825782958356,0.5726463783644534,0.2521064397922121,0.6783710258051087,1.0,0.20911244496719975,0.6722665252319295,0.6799217945705519,0.5239214785068165,0.5023678248836463,0.5680220224620748,0.9898036495767204,0.36263033922676846,0.2580409053575666,0.6177496334390298,0.3816763028862855,0.6475468967094342,0.6578287441846514,0.9548014468404501,0.22465386252532665,0.4613299285440326,0.4604249997950055,0.7313096993991997,0.7722660514643663,0.9683786318027752,0.21276889251433379,0.5986327873182706,0.597791606817383,0.6914534271038179
QT_MAT_FUND_AF,0.5058424104235725,0.6056616837854426,0.7009699322894046,0.805482924418003,0.20911244496719975,1.0,0.8008365636132959,0.8048346839432293,0.6194522729151057,0.6350191895258261,0.6717784111911757,0.24010586820576976,0.9719537084425294,0.936826471782103,0.7150171884879811,0.5956827581659981,0.7533186600370115,0.8281112135783476,0.20623403212547015,0.9543203174029273,0.7120844594202369,0.7116231543530414,0.6828669229722726,0.7546063908353119,0.188543387341238,0.9678085613365993,0.4663755642554753,0.4659737811550248,0.8510409842816177
QT_MAT_BAS_FEM,0.6830999238097457,0.7687611816566431,0.6166579443008099,0.9966220404691268,0.6722665252319295,0.8008365636132959,1.0,0.9870873456556907,0.7430807821711557,0.7574045291663225,0.8568898890361752,0.6966457115740388,0.8701260245873936,0.8158574023283331,0.875301786015709,0.7568647150359089,0.9521526141342294,0.9221731088132984,0.6505162153743375,0.7790780373270995,0.7747582854774933,0.7740069849569918,0.9566466024998501,0.9267128502730823,0.6437580895275794,0.7751236664077704,0.6885500152730898,0.6878973818453994,0.9526084917539703
QT_MAT_BAS_MASC,0.6960857559546947,0.7771961539141937,0.6322190367260591,0.9969080209306539,0.6799217945705519,0.8048346839432293,0.9870873456556907,1.0,0.738423895295335,0.764651358418203,0.8596338364124071,0.7009804229093026,0.8766506531604753,0.8215866453241505,0.8871495579778211,0.7301840478820835,0.9560466974804475,0.9320066650298949,0.6575843016742524,0.7871838811128622,0.7856909776761893,0.7848917708333221,0.9595020329117357,0.9365892472156692,0.6509571395071462,0.7830452910775327,0.6947296595781882,0.6940358218685342,0.9596727743075432
QT_MAT_BAS_ND,0.5620238504772822,0.6163195518083172,0.46258521794311963,0.7431025047551714,0.5239214785068165,0.6194522729151057,0.7430807821711557,0.738423895295335,1.0,0.3344550843207818,0.31234233922971427,0.5427146312967817,0.6604193158184466,0.6274667245379832,0.5672873520798116,0.5794345191238031,0.6931131239921833,0.6982613604362891,0.4990821431094124,0.5875556790341313,0.500400993139988,0.49940396491933076,0.6973277636018295,0.7098074030922972,0.4999412890719599,0.5868184290493544,0.43494587784118915,0.4337496515939559,0.7389532122934748
QT_MAT_BAS_BRANCA,0.5293844567405311,0.6011453570756636,0.48330679100539925,0.7635756668301393,0.5023678248836463,0.6350191895258261,0.7574045291663225,0.764651358418203,0.3344550843207818,1.0,0.760673626956311,0.5198737203427667,0.6907426500722734,0.6387040445185582,0.7327878430345721,0.518157820401989,0.7420745392767557,0.7260664984370829,0.4945553502716809,0.6231901216563039,0.6797329290519133,0.6794237227583794,0.7315905060280289,0.7174699630499486,0.4846000149078425,0.613952164826626,0.6055959362655877,0.6054244331202574,0.7388796461645891
QT_MAT_BAS_PARDA,0.5521279959959238,0.6301533122471349,0.5416205748644196,0.861074983094974,0.5680220224620748,0.6717784111911757,0.8568898890361752,0.8596338364124071,0.31234233922971427,0.760673626956311,1.0,0.5867402374335015,0.7420423154298581,0.6901494832662062,0.8271421790511809,0.6307282113044527,0.8380728334348153,0.7910226905303354,0.5545306579988009,0.669206184049526,0.7267119089499833,0.7263361213375633,0.8429110035220123,0.7897037573805414,0.5445301930892801,0.664590006945245,0.6504109385972904,0.6503421488061607,0.8012900464562008
QT_MAT_BAS_6_10,0.5752385729884623,0.5817964601440995,0.26763784364898313,0.7011268237568344,0.9898036495767204,0.24010586820576976,0.6966457115740388,0.7009804229093026,0.5427146312967817,0.5198737203427667,0.5867402374335015,1.0,0.3803926186402841,0.27275668382467166,0.6343543083626747,0.39559176065768265,0.6680324889729727,0.6714692061875839,0.947589398083565,0.2469264976621575,0.47105842217771465,0.4700952527663025,0.7500264230369783,0.7821543489526327,0.9604078995231577,0.2359228732935227,0.6010752847045667,0.6001638146705645,0.7088747904054444
QT_MAT_BAS_11_14,0.5695426167810199,0.6574782474744505,0.7130204995469137,0.8762923696296078,0.36263033922676846,0.9719537084425294,0.8701260245873936,0.8766506531604753,0.6604193158184466,0.6907426500722734,0.7420423154298581,0.3803926186402841,1.0,0.9208549060980925,0.8014012009103038,0.6135476448457485,0.8238997968379878,0.8922852645082956,0.34978458366957627,0.9425609728213288,0.7706195022145788,0.7701206421893034,0.7689648577829963,0.8366507985419623,0.3353652885519864,0.9463416243655256,0.5624791962290584,0.5620689358471739,0.9127563144287585
QT_MAT_BAS_15_17,0.5379598018158126,0.6397592734498562,0.6491466424825694,0.8214400026491521,0.2580409053575666,0.936826471782103,0.8158574023283331,0.8215866453241505,0.6274667245379832,0.6387040445185582,0.6901494832662062,0.27275668382467166,0.9208549060980925,1.0,0.7096808632783045,0.6738303716298285,0.7652827639223189,0.8153128578450003,0.2520140976463937,0.9058447859866611,0.714621548857158,0.7141881772148218,0.705486395556724,0.7471615727232686,0.23613030489026088,0.9086687791132835,0.48642189885976245,0.48611006838566956,0.8306444627705275
QT_MAT_BAS_D,0.5959735535324657,0.6406413358262106,0.5926946695563738,0.8842140603017468,0.6177496334390298,0.7150171884879811,0.875301786015709,0.8871495579778211,0.5672873520798116,0.7327878430345721,0.8271421790511809,0.6343543083626747,0.8014012009103038,0.7096808632783045,1.0,0.49934702249509005,0.8793684642866874,0.8624108496387825,0.6211988815393851,0.7191766286544202,0.8447311584901549,0.844363000641939,0.8711182571182815,0.8565691162377782,0.6109091728255671,0.7005297417552502,0.7817160779638562,0.7815574524907692,0.8599351299458131
QT_MAT_BAS_N,0.41697077637194363,0.5316689451470821,0.4454888881618382,0.7456396515888208,0.3816763028862855,0.5956827581659981,0.7568647150359089,0.7301840478820835,0.5794345191238031,0.518157820401989,0.6307282113044527,0.39559176065768265,0.6135476448457485,0.6738303716298285,0.49934702249509005,1.0,0.699356614364086,0.6296504129629117,0.3783272976426551,0.5772486022466833,0.5212338645225497,0.5206928608422153,0.7109664906711293,0.6189899187854846,0.36744387591585315,0.5804688311983476,0.44001328166727727,0.4395596613503323,0.6450118846459381
QT_DOC_BAS,0.6796047944865962,0.7701471642931352,0.6696758619920071,0.957236246412375,0.6475468967094342,0.7533186600370115,0.9521526141342294,0.9560466974804475,0.6931131239921833,0.7420745392767557,0.8380728334348153,0.6680324889729727,0.8238997968379878,0.7652827639223189,0.8793684642866874,0.699356614364086,1.0,0.9361492005644428,0.666590610820969,0.7860898293409746,0.8162707291876212,0.8153691970431879,0.9650160203663506,0.911536001580873,0.642987804626825,0.7526282567303648,0.7157624833802012,0.7149113958271831,0.9042307451028677
QT_DOC_FUND,0.6640652167133323,0.73924470817605,0.724515392471351,0.9302046756427083,0.6578287441846514,0.8281112135783476,0.9221731088132984,0.9320066650298949,0.6982613604362891,0.7260664984370829,0.7910226905303354,0.6714692061875839,0.8922852645082956,0.8153128578450003,0.8624108496387825,0.6296504129629117,0.9361492005644428,1.0,0.6734077681620755,0.8657293958402135,0.8237770748867355,0.8228712735616703,0.8991048393926597,0.9696099056094563,0.649431368538408,0.8352001855482296,0.6952778837774424,0.6944071116318034,0.9650050729974514
QT_DOC_FUND_AI,0.5606928278916194,0.5555519312213371,0.26993765237980416,0.6562491494213079,0.9548014468404501,0.20623403212547015,0.6505162153743375,0.6575843016742524,0.4990821431094124,0.4945553502716809,0.5545306579988009,0.947589398083565,0.34978458366957627,0.2520140976463937,0.6211988815393851,0.3783272976426551,0.666590610820969,0.6734077681620755,1.0,0.21620099500599638,0.49497368960329857,0.4941914399779758,0.7315789935854408,0.7665229145744213,0.9822257583350743,0.19007637836008764,0.6210267354472385,0.6203357352377599,0.6650566841521374
QT_DOC_FUND_AF,0.49931180805362196,0.6017686675260305,0.7821386905482266,0.785759859096843,0.22465386252532665,0.9543203174029273,0.7790780373270995,0.7871838811128622,0.5875556790341313,0.6231901216563039,0.669206184049526,0.2469264976621575,0.9425609728213288,0.9058447859866611,0.7191766286544202,0.5772486022466833,0.7860898293409746,0.8657293958402135,0.21620099500599638,1.0,0.7511727083356193,0.7505113739068864,0.6946270840507063,0.7638609976570584,0.19392614965097654,0.976598501706609,0.49657736338894426,0.49589354148613046,0.825640237697718
QT_DOC_ESP,0.49613536814130804,0.554712852456801,0.6089080965292416,0.7828754118266958,0.4613299285440326,0.7120844594202369,0.7747582854774933,0.7856909776761893,0.500400993139988,0.6797329290519133,0.7267119089499833,0.47105842217771465,0.7706195022145788,0.714621548857158,0.8447311584901549,0.5212338645225497,0.8162707291876212,0.8237770748867355,0.49497368960329857,0.7511727083356193,1.0,0.9997160272002783,0.76802346949954,0.7772377179335941,0.4739954773424898,0.7162188911089059,0.8961422978104169,0.8958763877079154,0.7737757460051212
QT_DOC_ESP_CC,0.4952416879368572,0.5538692777023613,0.6082041054719757,0.7820971140489408,0.4604249997950055,0.7116231543530414,0.7740069849569918,0.7848917708333221,0.49940396491933076,0.6794237227583794,0.7263361213375633,0.4700952527663025,0.7701206421893034,0.7141881772148218,0.844363000641939,0.5206928608422153,0.8153691970431879,0.8228712735616703,0.4941914399779758,0.7505113739068864,0.9997160272002783,1.0,0.7671200773823033,0.7762173438270883,0.47328255023231525,0.7153695445485555,0.8955924529534519,0.8961547495913705,0.7729490348341731
QT_TUR_BAS,0.6914892069992468,0.7591856423232335,0.6049723951665309,0.9612122936416332,0.7313096993991997,0.6828669229722726,0.9566466024998501,0.9595020329117357,0.6973277636018295,0.7315905060280289,0.8429110035220123,0.7500264230369783,0.7689648577829963,0.705486395556724,0.8711182571182815,0.7109664906711293,0.9650160203663506,0.8991048393926597,0.7315789935854408,0.6946270840507063,0.76802346949954,0.7671200773823033,1.0,0.9256693588297576,0.7294601505717003,0.6875713696440718,0.7318823453531849,0.7309229737322042,0.8971624457338913
QT_TUR_FUND,0.6905477495193638,0.7449142416880539,0.6497886407004007,0.934781100483431,0.7722660514643663,0.7546063908353119,0.9267128502730823,0.9365892472156692,0.7098074030922972,0.7174699630499486,0.7897037573805414,0.7821543489526327,0.8366507985419623,0.7471615727232686,0.8565691162377782,0.6189899187854846,0.911536001580873,0.9696099056094563,0.7665229145744213,0.7638609976570584,0.7772377179335941,0.7762173438270883,0.9256693588297576,1.0,0.7662302569320472,0.7646516814728168,0.7155841442219399,0.7144613908690488,0.9721526096182319
QT_TUR_FUND_AI,0.5635662013903702,0.549028905624124,0.2512508934075162,0.6495362561599594,0.9683786318027752,0.188543387341238,0.6437580895275794,0.6509571395071462,0.4999412890719599,0.4846000149078425,0.5445301930892801,0.9604078995231577,0.3353652885519864,0.23613030489026088,0.6109091728255671,0.36744387591585315,0.642987804626825,0.649431368538408,0.9822257583350743,0.19392614965097654,0.4739954773424898,0.47328255023231525,0.7294601505717003,0.7662302569320472,1.0,0.17180151753726552,0.6200322159045537,0.619424772392573,0.6592782072004587
QT_TUR_FUND_AF,0.49348021371390716,0.5914104011229491,0.7442195182551646,0.7816982187733804,0.21276889251433379,0.9678085613365993,0.7751236664077704,0.7830452910775327,0.5868184290493544,0.613952164826626,0.664590006945245,0.2359228732935227,0.9463416243655256,0.9086687791132835,0.7005297417552502,0.5804688311983476,0.7526282567303648,0.8352001855482296,0.19007637836008764,0.976598501706609,0.7162188911089059,0.7153695445485555,0.6875713696440718,0.7646516814728168,0.17180151753726552,1.0,0.475233017755905,0.47412091958209457,0.8292228455462172
QT_TUR_ESP,0.4433614203091971,0.459835869618878,0.4333498480296808,0.6939507663854078,0.5986327873182706,0.4663755642554753,0.6885500152730898,0.6947296595781882,0.43494587784118915,0.6055959362655877,0.6504109385972904,0.6010752847045667,0.5624791962290584,0.48642189885976245,0.7817160779638562,0.44001328166727727,0.7157624833802012,0.6952778837774424,0.6210267354472385,0.49657736338894426,0.8961422978104169,0.8955924529534519,0.7318823453531849,0.7155841442219399,0.6200322159045537,0.475233017755905,1.0,0.9992406413183725,0.6659850212093525
QT_TUR_ESP_CC,0.4422521926157368,0.45898577559618975,0.432605780923067,0.6932748917091612,0.597791606817383,0.4659737811550248,0.6878973818453994,0.6940358218685342,0.4337496515939559,0.6054244331202574,0.6503421488061607,0.6001638146705645,0.5620689358471739,0.48611006838566956,0.7815574524907692,0.4395596613503323,0.7149113958271831,0.6944071116318034,0.6203357352377599,0.49589354148613046,0.8958763877079154,0.8961547495913705,0.7309229737322042,0.7144613908690488,0.619424772392573,0.47412091958209457,0.9992406413183725,1.0,0.6652365130615938
QT_MAT_FUND,0.6808846119518919,0.7549292136902268,0.6532179365819437,0.9593189467585725,0.6914534271038179,0.8510409842816177,0.9526084917539703,0.9596727743075432,0.7389532122934748,0.7388796461645891,0.8012900464562008,0.7088747904054444,0.9127563144287585,0.8306444627705275,0.8599351299458131,0.6450118846459381,0.9042307451028677,0.9650050729974514,0.6650566841521374,0.825640237697718,0.7737757460051212,0.7729490348341731,0.8971624457338913,0.9721526096182319,0.6592782072004587,0.8292228455462172,0.6659850212093525,0.6652365130615938,1.0
